Name,EGY,BAB,HAR,ASS,NUB,CHI,HIT,GRE,IND,CAR,PLY,PER,CEL,ROM,MAY,TAM,ETH,TOL,KUS,KOR,KHM,MAL,BYZ,FRA,MAA,JAP,NOR,TUR,ARA,TIB,MOO,JAV,SPA,ENG,HRE,BUR,UKR,VIE,SWA,MIS,POL,POR,INC,ITA,MON,AZT,MUG,TAT,THA,SWE,RUS,OTT,CON,IRA,NET,MAN,GER,SAU,AME,ARG,MEX,COL,BRA,BEL,AUS,CAN,IND,IND,NAT,BAR
Culture,90,80,80,80,80,80,80,100,80,100,100,100,80,100,100,110,90,100,100,100,120,130,100,150,120,110,100,120,110,120,125,120,125,130,150,120,120,100,110,100,110,140,140,100,135,140,125,120,130,130,130,150,130,135,165,150,150,120,140,130,140,140,140,180,140,140,20,20,20,30
Unit Upkeep,135,120,200,100,130,120,110,110,135,115,100,120,110,100,110,100,115,110,120,100,90,100,110,100,100,100,90,100,100,110,110,100,110,100,100,100,100,100,100,120,100,100,100,125,90,90,110,90,90,80,110,120,90,110,90,85,75,80,75,80,90,90,80,90,75,75,50,50,100,100
Research Cost,150,140,125,120,150,90,125,180,130,110,300,130,150,120,125,120,120,135,120,105,90,85,140,90,100,120,90,120,125,90,100,100,85,75,100,90,90,90,110,130,85,90,80,80,100,80,120,115,100,80,85,100,85,110,90,125,75,85,75,70,90,90,90,70,75,70,125,125,125,110
Distance Maintenance,150,110,120,100,125,125,120,110,120,60,75,110,60,70,100,95,120,150,120,120,80,80,120,90,80,120,70,60,100,120,80,80,90,80,85,90,90,110,80,130,100,80,60,90,75,70,130,110,80,90,80,100,80,100,75,100,80,125,60,50,70,70,80,80,75,70,100,100,100,20
Colony Maintenance,150,150,150,150,150,150,150,150,125,125,125,150,125,125,150,100,150,150,150,150,150,125,150,75,125,100,100,125,150,150,150,150,75,65,110,150,150,150,125,150,125,90,125,100,150,125,150,150,150,100,125,125,150,150,75,150,90,150,110,125,125,125,125,60,125,125,100,100,100,20
Cities Maintenance,120,135,125,100,150,125,125,125,150,120,100,90,120,70,115,100,110,160,120,130,100,90,120,85,100,125,75,90,100,120,70,100,75,85,75,100,80,100,70,130,80,85,80,100,90,85,120,90,100,75,60,125,90,100,90,80,75,120,60,50,85,85,80,100,70,60,100,100,100,30
Civic Maintenance,130,110,120,110,125,100,110,110,140,70,100,100,120,80,80,80,100,100,120,80,100,75,140,90,100,120,80,110,80,80,90,100,80,75,70,100,80,80,80,120,80,80,60,60,60,70,110,80,80,65,85,90,80,80,75,80,60,120,50,50,70,70,75,80,75,75,100,100,100,70
Health,1,1,1,1,1,1,1,3,1,3,3,3,1,3,3,2,3,3,3,3,3,2,3,2,3,2,3,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,3,2,3,3,4,3,4,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
Unit Cost,125,140,200,120,140,120,100,110,120,90,100,120,100,80,105,85,100,120,110,80,90,90,115,90,100,100,85,100,100,110,100,90,90,100,90,80,90,90,100,110,80,90,100,125,80,100,100,80,90,75,110,100,70,90,90,100,75,80,85,80,85,85,85,90,85,85,300,300,150,140
Wonder Cost,80,80,120,80,140,120,100,80,100,90,100,90,120,100,90,100,125,100,110,100,90,90,110,70,90,125,90,120,90,100,85,80,90,90,100,100,90,100,100,90,100,90,80,80,100,80,80,100,90,100,100,100,100,85,100,100,90,110,70,70,90,90,90,80,80,80,150,150,150,100
Building Cost,110,110,100,110,120,100,110,100,110,90,100,110,120,80,90,70,100,120,110,80,100,80,110,90,90,110,90,100,100,80,90,90,90,90,85,100,90,90,80,90,80,80,70,80,80,80,85,80,80,75,110,80,80,80,80,100,70,90,70,70,80,80,75,75,80,80,100,100,150,100
Inflation Rate,130,130,150,125,150,150,130,150,140,130,130,130,140,130,125,110,130,125,120,90,100,120,130,100,100,80,70,90,130,100,85,90,90,75,70,90,100,90,90,125,75,80,80,90,90,80,120,90,75,70,85,130,75,85,90,110,70,90,65,60,65,65,60,50,65,60,95,95,95,95
Great People Threshold,140,140,140,140,140,125,140,140,125,120,120,120,140,110,100,110,110,120,120,110,90,80,120,75,90,100,90,90,80,85,75,100,75,75,80,90,90,90,80,85,80,75,70,65,70,70,100,100,80,70,80,90,85,80,70,125,65,85,65,70,80,80,80,75,80,75,100,100,100,100
Growth Threshold,150,150,175,150,150,140,150,130,150,120,120,130,150,120,110,110,100,120,130,112,80,75,90,90,100,140,80,80,80,80,80,90,80,70,80,90,80,120,80,75,80,80,70,70,75,70,90,75,75,80,90,70,75,70,75,140,70,80,70,70,70,70,70,70,70,70,125,125,125,125
