,,,,,,,,,,,,?,,Holman,?,?,?,?,,,?,,,,,?,?,?,?,?,?,Clyde River,,,,,,,,,Ritenbenck,?,?,?,?,?,?,,Daneborg,,,,,,,Olonkinbyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lagerny,Krestovaya Guba,?,Arkhangel'skoye,Mys  Zhelaniya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kotel'niy,,?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,?,?,?,?,,Gjoa Haven,,?,,,,?,?,?,?,?,?,?,,,,,,Godhavn,,Jakobshavn,?,?,?,?,Scoresbysund,,Myggbukta,,,,,,,,,,,,,,,,,,,,,,,,,,Tromsø,^,Alta,Hammerfest,Honningsvåg,Vadsø,Kirkenes,,,,,,,,,,,,,,,Stolbovoy,?,,,,,,,,,,,,,,,,,,,,,?,?,,Mys Chelyuskina,Mys Dika,,,,,,,,,,,,,,,,,,,,,,,,,,Ushakovskoye,,
,,Utqiagvik,Utqiagvik,,,,,,,,,,,?,?,?,?,Cambridge Bay,?,,,,Spence Bay,?,,,,,,,?,?,Broughton Island,?,,,,,,,Christianshaab,?,?,?,?,^,,,,Ísafjörður,,,,,,,,,,,,,,,,,,,,,,Vågan,Narvik,^,Karesuando,Kautokeino,Kittilä,Karasjok,,^,Pechenga,Kola,,,,,,,,,,,,Belush'ya Guba,Rogachevo,,,,,,,,,,,,,,,,,?,Ust'-Tareya,?,?,?,?,,?,?,?,,,,,,,Sagastyr,?,,,,Yukagir,?,?,Russkoye Ust'ye,,,,,,,,,,,,,
,Wainwright,Atqasuk,Nuiqsut,Prudhoe Bay,^,^,,Tuktoyaktuk,?,,?,?,,,?,?,,,,,?,,,Pelly Bay,,,Igloolik,,,?,,?,?,?,,,,,,Holsteinsborg,Egedesminde,?,?,?,?,^,,,,,Thingvellir,Hólar,Húsavík,,,,,,,,,,,,,,,,Mosjøen,^,Bodø,^,^,Kiruna,Gällivare,Överkalix,Pajala,Rovaniemi,Sodankylä,Saariselkä,^,Lovozero,Tumanny,Svyatoy Nos,,,,,,,Bugrino,,,,Krasino,Rusanovo,,,Yekaterinburg,,,Drovyanoy,,?,,Leskino,?,,Dikson,?,?,?,?,?,?,?,?,?,?,,,Novorybnaya,Kozhevnikovo,?,?,?,Ust'-Olenyok,Tit-Ary,Tiksi,,?,Nizhneyansk,?,?,Chokurdakh,Yar,Pogashkino,Chaychurgino,Chukoch'ya,,,?,,Pevek,Billings,Leningradskiy,,,
Point Hope,^,Noatak,^,^,Arctic Village,Old Crow,^,"Reindeer Station
",?,Paulatuk,?,?,?,,,,,?,,,,?,?,?,?,?,Hall Beach,,,,,?,,Pangnirtung,,?,,,,^,?,?,?,Angmagssalik,Kap Dan,,,,,,Reykjarvík,^,Djúpivogur,,,,,,,,,,,,,,Veøy,Nidaróss,Steinkjer,^,^,Tärnaby,Arjeplog,Arvidsjaur,Luleå,Kalix,Tornio,Kemi,Pudasjärvi,Kuusamo,Kovdor,Kandalaksha,Umba,Varzuga,Ponoy,,,,Shoyna,,,,,,,,,,,,?,Seyakha,,Napalkovo,Yunbey,Gyda,?,Nosok,Karaul,Ust'-Port,?,?,Volochanka,?,?,?,?,?,Khatanga,?,?,?,Popigay,?,Saskylakh,Udzha,?,Bulun,Tiksi,?,Kular,Ust'-Kuyga,Deputatskiy,?,Druzhina,?,?,?,Nizhnekolymsk,Cherskiy,Ambarchik,?,Ust'-Chaun,?,?,^,Mys Shmidta,,
,,Kotzebue,Ambler,Tanana,Venetie,^,Aklavik,Inuvik,?,Colville Lake,?,?,?,Coppermine,?,Bathurst Inlet,,Bay Chimo,?,?,?,?,?,?,?,Repulse Bay,?,,,Cape Dorset,?,,?,?,,,,,,Sukkertoppen,Anavik,?,?,^,,,,,,,,,,,,,,,,,,,,,,Borgund,Lillehammer,^,^,Åre,Östersund,Sollefteå,Örnsköldsvik,Umeå,Skellefteå,,,Uleåborg,Kajaani,Kuhmo,Ukhta,Chupa,,,,,Ruchyi,,Nizhnyaya Mola,,Indiga,Tobseda,Nel'min-Nos,,,,Amderma,Ust'-Kara,?,,Yarono,Novyy Port,,,Nakhodka,?,?,?,Dudinka,Noril'sk,Kryazhi,Ust'-Avam,^,^,?,?,?,?,Khatanga,?,?,?,Kirbey,?,Olenyok,Kuoyka,Kuonara,Zhigansk,Menkere,^,Batagay-Alyta,Batagay,^,?,^,Zashiversk,?,Srednekolymsk,?,?,Bilibino,Aliskerovo,?,?,?,^,?,Enurmino,
Nome,Buckland,Selawik,^,Fairbanks,Fort Yukon,Clinton Creek,^,Fort McPherson,Fort Good Hope,,,,Port Radium,?,?,?,?,?,?,?,?,Baker Lake,?,?,Wager Bay,,,,,,,Lake Harbour,Frobisher Bay,?,,,,,,,Sandnæs,?,^,Prins Christianssund,,,,,,,,,,,,,,,,,,,,,Kaupanger,^,^,Hamar,Elverum,Malung,Falun,Gävle,Selånger,,,,Wasa,Jyväskylä,,Kuopio,Joensuu,Nadvoitsy,Kem',,Purnema,,Soyana,Kamenka,Mezen',Safonovo,Volokovaya,Kotkino,Nar'yan-Mar,Nosovaya,Varandey,?,?,Vorkuta,^,?,Labytnangi,,,Yamburg,Khalmer-Sede,?,Mangazeya,?,?,Igarka,Svetlogorsk,?,^,?,?,?,Chirinda,Yessey,Ekonda,?,?,?,Aykhal,?,Udachnyy,Nyurba,Sukhana,Bestyakh,Sebyan-Kyuyel',^,Verkhoyansk,Tomtor,El'ginskiy,^,^,Ugol'noye,Zyryanka,?,Omolon,^,?,Slautnoye,?,?,Snezhnoye,?,,?,
,Unalakleet,Galena,McGrath,Healy,Delta Junction,Dawson City,Mayo Landing,^,Norman Wells,Fort Franklin,,?,Rae Lakes,Fort Rae,?,?,?,?,?,?,?,,?,Chesterfield Inlet,,?,Coral Harbour,,,,,,?,^,,,,,,,Brattahlið,^,^,,,,,,,,,,,,,,,,,,,,,,Bjørgvin,^,Tønsberg,Oslo,Eidsvoll,Tingvalla,Hedemora,Uppsala,,,,Björneborg,Tammerfors,,Villmanstrand,,Nyslott,Sortavala,Kondopoga,Ust'-Onega,Mud'yuga,Nyonoksa,Novokholmogory,Pinega,Leshukonskoye,Blagoyevo,Usogorsk,Koslan,Ust'-Tsil'ma,?,Usinsk,Inta,?,?,?,Obdorsk,Obdorsk,Aksarka,Nadym,Novyy Urengoy,Urengoy,?,Mangazeya,Krasnosel'kup,Yanov-Stan,?,Turukhansk,Bol'shoy Porog,Uchami,Babkino,Nidym,Tura,Kislokan,Inarigda,?,?,?,?,Chernyshevskiy,Mirnyy,Suntar,El'gyay,Verkhnevilyuysk,Tyukanskoye,Khampa,Sangar,^,^,Oymyakon,Ust'-Nera,Khonuu,^,Seymchan,Omsukchan,^,Evensk,Manily,Aklansk,Markhovo,Otrozhnyy,^,Anadyr',,,
Kotlik,Flat,^,^,^,Glennallen,Beaver Creek,Carmacks,^,Fort Norman,Wrigley,?,Lac La Martre,?,,Yellowknife,?,?,?,,?,?,?,Rankin Inlet,,,?,,?,,Sugluk,Deception Bay,,,,,,,,,,,Hvalsey,Herjolfsnes,,,,,,,,,,,,,Inbhir Nis,,,,,,,,,Stavanger,Oddernes,Skien,,Borg,,Örebro,Västerås,Birka,,,Åbo,Helsingfors,Borgå,Kotka,Viborg,Kexholm,,Petrozavodsk,,Pudoga,Plesetsk,Kholmogory,Bereznik,Verkhnyaya Toyma,Krasnoborsk,Yarensk,Yemva,Ukhta,Izhma,Pechora,?,^,?,Beryozovo,Polnovat,Beloyarskiy,?,Noyabr'sk,Tarko-Sale,Tol'ka,?,?,?,?,?,Zyryanovo,Noginsk,?,?,?,?,?,Nakanno,?,?,?,Peleduy,Mukhtuya,Mukhtuya,?,Olyokminsk,?,?,Karaul'nyy Mys,Yakutsk,Churapcha,Khandyga,^,^,^,Susuman,^,^,,Evensk,,Kamenskoye,Pakhachi,^,,,,,Hooper Bay
Bethel,Dillingham,^,Anchorage,Valdez,^,Haines,Whitehorse,Tungsten,^,Fort Simpson,?,Fort Providence,,,,Snowdrift,?,?,?,?,?,Whale Cove,,,,,,,,Povungnituk,?,Bellin,,^,,,,,,,,,,,,,,,,,,,,,Steòrnabhagh,Sruighlea,Obar Dheathain,,,,,,,,,,,,Lödöse,Skara,,Norrköping,,,,,,,,,Orekhov,,Olonets,Vytegra,Beloozero,Kargopol',Vel'sk,Shenkursk,Velikiy Ustyug,Kotlas,Koryazhma,Ust'-Sysol'sk,Ust'-Kulom,Troitsko-Pechorsk,Ust'-Ilych,^,?,Pelym,Nyagan',?,Samarovo,Poykovsky,Nefteyugansk,Surgut,Megion,?,?,Pyl'karamo,?,?,Yartsevo,?,Severo-Yeniseyskiy,?,Baykit,Tunguska,Vanavara,?,Yerbogachyon,?,?,Vitim,?,?,?,Olyokminsk,?,?,Tommot,?,Amga-Sloboda,Ust'-Maya,El'dikan,Okhotsk,Okhotsk,Magadan,Magadan,Brokhovo,,,,Tilichiki,,,,,,,
